scenario_id,repetition_id,day,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,variance_scores,social_welfare,num_changes
D1,4,41,1000,erdos_renyi,IC,0.6,0.2,0.2,360.72222222222234,4.256,64
D1,4,42,1000,erdos_renyi,IC,0.6,0.2,0.2,338.22222222222223,4.256,61
D1,4,43,1000,erdos_renyi,IC,0.6,0.2,0.2,379.22222222222223,4.256,56
D1,4,44,1000,erdos_renyi,IC,0.6,0.2,0.2,356.5555555555556,4.256,60
D1,4,45,1000,erdos_renyi,IC,0.6,0.2,0.2,345.38888888888886,4.256,61
D1,4,46,1000,erdos_renyi,IC,0.6,0.2,0.2,358.8888888888889,4.256,59
D1,4,47,1000,erdos_renyi,IC,0.6,0.2,0.2,354.22222222222223,4.256,59
D1,4,48,1000,erdos_renyi,IC,0.6,0.2,0.2,375.72222222222223,4.256,66
D1,4,49,1000,erdos_renyi,IC,0.6,0.2,0.2,353.55555555555543,4.256,61
D1,4,50,1000,erdos_renyi,IC,0.6,0.2,0.2,342.7222222222222,4.256,62
D1,4,51,1000,erdos_renyi,IC,0.6,0.2,0.2,350.22222222222223,4.256,62
D1,4,52,1000,erdos_renyi,IC,0.6,0.2,0.2,370.0555555555555,4.256,59
D1,4,53,1000,erdos_renyi,IC,0.6,0.2,0.2,341.72222222222223,4.256,60
D1,4,54,1000,erdos_renyi,IC,0.6,0.2,0.2,360.72222222222223,4.256,61
D1,4,55,1000,erdos_renyi,IC,0.6,0.2,0.2,350.22222222222223,4.256,61
D1,4,56,1000,erdos_renyi,IC,0.6,0.2,0.2,352.05555555555543,4.256,63
D1,4,57,1000,erdos_renyi,IC,0.6,0.2,0.2,318.22222222222223,4.256,60
D1,4,58,1000,erdos_renyi,IC,0.6,0.2,0.2,359.0555555555556,4.256,62
D1,4,59,1000,erdos_renyi,IC,0.6,0.2,0.2,352.2222222222222,4.256,60
D1,4,60,1000,erdos_renyi,IC,0.6,0.2,0.2,316.22222222222223,4.256,63
