scenario_id,repetition_id,run_folder,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,avg_degree,seed
D2,10,D2_N5000_run_010,5000,erdos_renyi,IC,0.4,0.3,0.3,10,101
D3,1,D3_N1000_run_001,1000,erdos_renyi,IC,0.3,0.4,0.3,10,102
D3,2,D3_N1000_run_002,1000,erdos_renyi,IC,0.3,0.4,0.3,10,103
D3,3,D3_N1000_run_003,1000,erdos_renyi,IC,0.3,0.4,0.3,10,104
D3,4,D3_N1000_run_004,1000,erdos_renyi,IC,0.3,0.4,0.3,10,105
D3,5,D3_N1000_run_005,1000,erdos_renyi,IC,0.3,0.4,0.3,10,106
D3,6,D3_N1000_run_006,1000,erdos_renyi,IC,0.3,0.4,0.3,10,107
D3,7,D3_N1000_run_007,1000,erdos_renyi,IC,0.3,0.4,0.3,10,108
D3,8,D3_N1000_run_008,1000,erdos_renyi,IC,0.3,0.4,0.3,10,109
D3,9,D3_N1000_run_009,1000,erdos_renyi,IC,0.3,0.4,0.3,10,110
D3,10,D3_N1000_run_010,1000,erdos_renyi,IC,0.3,0.4,0.3,10,111
D3,1,D3_N3000_run_001,3000,erdos_renyi,IC,0.3,0.4,0.3,10,112
D3,2,D3_N3000_run_002,3000,erdos_renyi,IC,0.3,0.4,0.3,10,113
D3,3,D3_N3000_run_003,3000,erdos_renyi,IC,0.3,0.4,0.3,10,114
D3,4,D3_N3000_run_004,3000,erdos_renyi,IC,0.3,0.4,0.3,10,115
D3,5,D3_N3000_run_005,3000,erdos_renyi,IC,0.3,0.4,0.3,10,116
D3,6,D3_N3000_run_006,3000,erdos_renyi,IC,0.3,0.4,0.3,10,117
D3,7,D3_N3000_run_007,3000,erdos_renyi,IC,0.3,0.4,0.3,10,118
D3,8,D3_N3000_run_008,3000,erdos_renyi,IC,0.3,0.4,0.3,10,119
D3,9,D3_N3000_run_009,3000,erdos_renyi,IC,0.3,0.4,0.3,10,120
D3,10,D3_N3000_run_010,3000,erdos_renyi,IC,0.3,0.4,0.3,10,121
D3,1,D3_N5000_run_001,5000,erdos_renyi,IC,0.3,0.4,0.3,10,122
D3,2,D3_N5000_run_002,5000,erdos_renyi,IC,0.3,0.4,0.3,10,123
D3,3,D3_N5000_run_003,5000,erdos_renyi,IC,0.3,0.4,0.3,10,124
D3,4,D3_N5000_run_004,5000,erdos_renyi,IC,0.3,0.4,0.3,10,125
D3,5,D3_N5000_run_005,5000,erdos_renyi,IC,0.3,0.4,0.3,10,126
D3,6,D3_N5000_run_006,5000,erdos_renyi,IC,0.3,0.4,0.3,10,127
D3,7,D3_N5000_run_007,5000,erdos_renyi,IC,0.3,0.4,0.3,10,128
D3,8,D3_N5000_run_008,5000,erdos_renyi,IC,0.3,0.4,0.3,10,129
D3,9,D3_N5000_run_009,5000,erdos_renyi,IC,0.3,0.4,0.3,10,130
D3,10,D3_N5000_run_010,5000,erdos_renyi,IC,0.3,0.4,0.3,10,131
D4,1,D4_N1000_run_001,1000,erdos_renyi,IC,0.2,0.6,0.2,10,132
D4,2,D4_N1000_run_002,1000,erdos_renyi,IC,0.2,0.6,0.2,10,133
D4,3,D4_N1000_run_003,1000,erdos_renyi,IC,0.2,0.6,0.2,10,134
D4,4,D4_N1000_run_004,1000,erdos_renyi,IC,0.2,0.6,0.2,10,135
D4,5,D4_N1000_run_005,1000,erdos_renyi,IC,0.2,0.6,0.2,10,136
D4,6,D4_N1000_run_006,1000,erdos_renyi,IC,0.2,0.6,0.2,10,137
D4,7,D4_N1000_run_007,1000,erdos_renyi,IC,0.2,0.6,0.2,10,138
D4,8,D4_N1000_run_008,1000,erdos_renyi,IC,0.2,0.6,0.2,10,139
D4,9,D4_N1000_run_009,1000,erdos_renyi,IC,0.2,0.6,0.2,10,140
D4,10,D4_N1000_run_010,1000,erdos_renyi,IC,0.2,0.6,0.2,10,141
D4,1,D4_N3000_run_001,3000,erdos_renyi,IC,0.2,0.6,0.2,10,142
D4,2,D4_N3000_run_002,3000,erdos_renyi,IC,0.2,0.6,0.2,10,143
D4,3,D4_N3000_run_003,3000,erdos_renyi,IC,0.2,0.6,0.2,10,144
D4,4,D4_N3000_run_004,3000,erdos_renyi,IC,0.2,0.6,0.2,10,145
D4,5,D4_N3000_run_005,3000,erdos_renyi,IC,0.2,0.6,0.2,10,146
D4,6,D4_N3000_run_006,3000,erdos_renyi,IC,0.2,0.6,0.2,10,147
D4,7,D4_N3000_run_007,3000,erdos_renyi,IC,0.2,0.6,0.2,10,148
D4,8,D4_N3000_run_008,3000,erdos_renyi,IC,0.2,0.6,0.2,10,149
D4,9,D4_N3000_run_009,3000,erdos_renyi,IC,0.2,0.6,0.2,10,150
D4,10,D4_N3000_run_010,3000,erdos_renyi,IC,0.2,0.6,0.2,10,151
D4,1,D4_N5000_run_001,5000,erdos_renyi,IC,0.2,0.6,0.2,10,152
D4,2,D4_N5000_run_002,5000,erdos_renyi,IC,0.2,0.6,0.2,10,153
D4,3,D4_N5000_run_003,5000,erdos_renyi,IC,0.2,0.6,0.2,10,154
D4,4,D4_N5000_run_004,5000,erdos_renyi,IC,0.2,0.6,0.2,10,155
D4,5,D4_N5000_run_005,5000,erdos_renyi,IC,0.2,0.6,0.2,10,156
D4,6,D4_N5000_run_006,5000,erdos_renyi,IC,0.2,0.6,0.2,10,157
D4,7,D4_N5000_run_007,5000,erdos_renyi,IC,0.2,0.6,0.2,10,158
D4,8,D4_N5000_run_008,5000,erdos_renyi,IC,0.2,0.6,0.2,10,159
D4,9,D4_N5000_run_009,5000,erdos_renyi,IC,0.2,0.6,0.2,10,160
D4,10,D4_N5000_run_010,5000,erdos_renyi,IC,0.2,0.6,0.2,10,161
D5,1,D5_N1000_run_001,1000,erdos_renyi,IC,0.2,0.3,0.5,10,162
D5,2,D5_N1000_run_002,1000,erdos_renyi,IC,0.2,0.3,0.5,10,163
D5,3,D5_N1000_run_003,1000,erdos_renyi,IC,0.2,0.3,0.5,10,164
D5,4,D5_N1000_run_004,1000,erdos_renyi,IC,0.2,0.3,0.5,10,165
D5,5,D5_N1000_run_005,1000,erdos_renyi,IC,0.2,0.3,0.5,10,166
D5,6,D5_N1000_run_006,1000,erdos_renyi,IC,0.2,0.3,0.5,10,167
D5,7,D5_N1000_run_007,1000,erdos_renyi,IC,0.2,0.3,0.5,10,168
D5,8,D5_N1000_run_008,1000,erdos_renyi,IC,0.2,0.3,0.5,10,169
D5,9,D5_N1000_run_009,1000,erdos_renyi,IC,0.2,0.3,0.5,10,170
D5,10,D5_N1000_run_010,1000,erdos_renyi,IC,0.2,0.3,0.5,10,171
D5,1,D5_N3000_run_001,3000,erdos_renyi,IC,0.2,0.3,0.5,10,172
D5,2,D5_N3000_run_002,3000,erdos_renyi,IC,0.2,0.3,0.5,10,173
D5,3,D5_N3000_run_003,3000,erdos_renyi,IC,0.2,0.3,0.5,10,174
D5,4,D5_N3000_run_004,3000,erdos_renyi,IC,0.2,0.3,0.5,10,175
D5,5,D5_N3000_run_005,3000,erdos_renyi,IC,0.2,0.3,0.5,10,176
D5,6,D5_N3000_run_006,3000,erdos_renyi,IC,0.2,0.3,0.5,10,177
D5,7,D5_N3000_run_007,3000,erdos_renyi,IC,0.2,0.3,0.5,10,178
D5,8,D5_N3000_run_008,3000,erdos_renyi,IC,0.2,0.3,0.5,10,179
D5,9,D5_N3000_run_009,3000,erdos_renyi,IC,0.2,0.3,0.5,10,180
D5,10,D5_N3000_run_010,3000,erdos_renyi,IC,0.2,0.3,0.5,10,181
D5,1,D5_N5000_run_001,5000,erdos_renyi,IC,0.2,0.3,0.5,10,182
D5,2,D5_N5000_run_002,5000,erdos_renyi,IC,0.2,0.3,0.5,10,183
D5,3,D5_N5000_run_003,5000,erdos_renyi,IC,0.2,0.3,0.5,10,184
D5,4,D5_N5000_run_004,5000,erdos_renyi,IC,0.2,0.3,0.5,10,185
D5,5,D5_N5000_run_005,5000,erdos_renyi,IC,0.2,0.3,0.5,10,186
D5,6,D5_N5000_run_006,5000,erdos_renyi,IC,0.2,0.3,0.5,10,187
D5,7,D5_N5000_run_007,5000,erdos_renyi,IC,0.2,0.3,0.5,10,188
D5,8,D5_N5000_run_008,5000,erdos_renyi,IC,0.2,0.3,0.5,10,189
D5,9,D5_N5000_run_009,5000,erdos_renyi,IC,0.2,0.3,0.5,10,190
D5,10,D5_N5000_run_010,5000,erdos_renyi,IC,0.2,0.3,0.5,10,191
