day,predicted_num_changes_100000_agents,predicted_variance_scores_100000_agents,predicted_social_welfare_100000_agents
0,0.0,77.22222222222223,4.195
1,4811.937940341779,2914.6931770694646,4.290008932818887
2,3841.7338491256796,5957.095136841762,4.2986626051031545
3,3279.5057653037175,9331.170734194046,4.289059118952902
4,3027.9400040276614,14882.3523413422,4.283619627587859
5,2886.0751497494857,20041.413208927595,4.2838681583218365
6,2878.3877897034113,22619.263702688335,4.283151748612763
7,2894.811176191935,23146.319833995993,4.2817687954042
8,2904.1436781805546,22780.93933004902,4.278920703397303
9,2863.576077407436,30592.924599320893,4.276213904348258
10,2834.33434717317,37952.77710113891,4.274020679410725
11,2814.736035726816,45102.03051394095,4.271917647493546
12,2805.9140635302097,51432.3671038717,4.269968048416917
13,2804.7156421330833,57670.40393506644,4.268167565205939
14,2803.17556643362,64809.29588068023,4.266383332873639
15,2796.505978829382,73316.94613079603,4.264547781751236
16,2781.238372124978,83523.23976217644,4.262648896401628
17,2769.2478073405705,92453.27473185025,4.26078298055318
18,2759.128283563913,100795.03797170131,4.258846976085385
19,2749.9686170960526,108747.47376731386,4.25691261086651
20,2740.240030202236,115488.31103461457,4.254979447191344
21,2729.05828161877,121874.5585084169,4.253047077393273
22,2716.7751081391543,127797.62650131348,4.251131636487831
23,2704.4399155349697,133586.0608419482,4.249353055702197
24,2693.680912096769,138487.53177315285,4.247676674791561
25,2683.8804247529215,142587.3317097282,4.246068897735542
26,2674.7895425772685,146145.33330872684,4.244464459254548
27,2666.4073922957573,149215.6975653899,4.242933357852144
28,2658.4367980252555,151903.03674159726,4.241469379830859
29,2651.0225271194718,154228.1656994714,4.240073194622188
30,2644.2662931240216,156221.0368602623,4.238708223802615
31,2638.3899267217407,157892.64897661188,4.237397494099096
32,2633.2162119569375,159308.0427855049,4.236144541483124
33,2628.6020281760607,160519.0125838681,4.234947374825119
34,2624.4850710090286,161556.92270696047,4.233804303381435
35,2620.81504421531,162448.21897895963,4.232713868134707
36,2617.5827686300254,163212.59386896997,4.23167482462895
37,2614.9123090118624,163868.59943913078,4.230685722429258
38,2612.725547722502,164434.13970192717,4.229744475999048
39,2610.8546276571833,164925.9935356305,4.22884866508599
40,2609.2557445209623,165357.0444122281,4.2279960239219445
41,2607.8959050086028,165737.39112662675,4.227184338233502
42,2606.754187302221,166074.88874952795,4.226411385164801
43,2605.8071133544786,166376.5373513878,4.225675019102072
44,2605.029961210988,166648.04327049502,4.224973111596457
45,2604.3921143506623,166894.75750731214,4.224303568528918
46,2603.865660597244,167121.1814340588,4.2236643987698805
47,2603.430671551314,167330.47138038246,4.223053808586232
48,2603.0745245716494,167525.5988346563,4.222470038574684
49,2602.7852737445946,167708.72451690267,4.221911432321408
50,2602.54899885888,167881.6759220051,4.2213764707318555
51,2602.3564209055953,168046.08265133234,4.220863737700939
52,2602.1976044462517,168203.37441702522,4.220373104491833
53,2602.0632797542694,168354.57127824557,4.219909651917941
54,2601.948811472364,168500.55894346337,4.219466685664306
55,2601.8475807122823,168642.29626651286,4.2190434504748815
56,2601.7562779134287,168780.11996673365,4.2186389250375145
57,2601.6709325411616,168914.57694721114,4.218252156699691
58,2601.5869130867236,169046.35539016296,4.217882184226444
59,2601.501573267996,169175.51855518302,4.217528097877535
60,2601.4102826064045,169302.33927645977,4.217189039407458
