scenario_id,repetition_id,run_folder,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,avg_degree,seed
D3,8,Urn_BA_D3_N1000_run_008,1000,barabasi_albert,Urn,0.3,0.4,0.3,10,42
D3,9,Urn_BA_D3_N1000_run_009,1000,barabasi_albert,Urn,0.3,0.4,0.3,10,42
D3,10,Urn_BA_D3_N1000_run_010,1000,barabasi_albert,Urn,0.3,0.4,0.3,10,42
D3,1,Urn_BA_D3_N3000_run_001,3000,barabasi_albert,Urn,0.3,0.4,0.3,10,42
D3,1,Urn_BA_D3_N5000_run_001,5000,barabasi_albert,Urn,0.3,0.4,0.3,10,42
D4,1,Urn_BA_D4_N1000_run_001,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,2,Urn_BA_D4_N1000_run_002,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,3,Urn_BA_D4_N1000_run_003,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,4,Urn_BA_D4_N1000_run_004,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,5,Urn_BA_D4_N1000_run_005,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,6,Urn_BA_D4_N1000_run_006,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,7,Urn_BA_D4_N1000_run_007,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,8,Urn_BA_D4_N1000_run_008,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,9,Urn_BA_D4_N1000_run_009,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,10,Urn_BA_D4_N1000_run_010,1000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,1,Urn_BA_D4_N3000_run_001,3000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D4,1,Urn_BA_D4_N5000_run_001,5000,barabasi_albert,Urn,0.2,0.6,0.2,10,42
D5,1,Urn_BA_D5_N1000_run_001,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,2,Urn_BA_D5_N1000_run_002,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,3,Urn_BA_D5_N1000_run_003,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,4,Urn_BA_D5_N1000_run_004,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,5,Urn_BA_D5_N1000_run_005,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,6,Urn_BA_D5_N1000_run_006,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,7,Urn_BA_D5_N1000_run_007,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,8,Urn_BA_D5_N1000_run_008,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
