day,predicted_num_changes_100000_agents,predicted_variance_scores_100000_agents,predicted_social_welfare_100000_agents
0,0.0,89.3888888888889,4.209
1,4157.916916221242,31479.960517232812,4.301664455591978
2,2986.1542774011295,48692.4839390836,4.312654170413502
3,2668.3969188861774,80694.86977680698,4.308714518384357
4,2851.75359479331,141302.57766304383,4.305003912147448
5,2921.6254145256707,222007.595028449,4.303386423013823
6,2896.5617652535234,294162.54121190624,4.30248347849324
7,2857.5857266176567,349477.01432581793,4.301787950978301
8,2855.4723630227622,377957.0434722873,4.301887868818983
9,2785.9050470095835,448140.1216040702,4.300760111677228
10,2728.731112295388,508516.4318084201,4.29884917941602
11,2676.7655007379635,556527.9440331222,4.297468330371363
12,2627.5107544050184,592815.5925209966,4.296446801983654
13,2583.448003852345,619451.9604905051,4.295436124793946
14,2543.7019035904204,640127.2406528188,4.294433414914607
15,2506.9603317086694,657185.2583150258,4.293440316807987
16,2471.323520620515,672732.4805098181,4.292409549661198
17,2441.4412176802953,684002.5684213612,4.291460991992235
18,2416.2023124079237,692191.2831943722,4.290626325053195
19,2394.7847410499435,698246.3627585238,4.289855497411608
20,2376.575723129978,702828.8772820377,4.289123851027641
21,2361.0698931240117,706386.135064638,4.288433684471819
22,2347.9682200444145,709159.5002376545,4.287787060290138
23,2337.0685571585745,711278.0818924801,4.287185190628663
24,2328.247976482914,712784.5382964095,4.286631626529784
25,2321.1268600419185,713853.3435371227,4.286120710521159
26,2315.4260967306877,714600.3611737648,4.2856452053079765
27,2310.93055761184,715100.768037862,4.285202603574404
28,2307.4587917479216,715403.6464730264,4.284791861593887
29,2304.8698829498744,715542.6604525773,4.284411470707134
30,2303.0315974006944,715543.501345117,4.284059620997416
31,2301.8246842963486,715427.4675155287,4.283734323454018
32,2301.139268411715,715218.4299008122,4.283433347111429
33,2300.88789363754,714929.6326035011,4.28315490577398
34,2300.996232265665,714572.9287342569,4.282897652085572
35,2301.403481676508,714155.9733848234,4.282660301550916
36,2302.056405278352,713685.5818937238,4.282441566116557
37,2302.906070337734,713167.1681388349,4.2822402182177415
38,2303.9184940162922,712604.4661332025,4.2820550895923635
39,2305.056465360322,712002.8806110846,4.281885142444131
40,2306.295028067031,711363.0681435012,4.281731074172152
41,2307.6107931764273,710689.8654465473,4.281613484143229
42,2308.9792564989557,709984.2027921607,4.281508309716084
43,2310.3871138626614,709246.7338279207,4.281415835543415
44,2311.810306828085,708478.1142137933,4.281335900322027
45,2313.227401118069,707680.9418743328,4.281268010653912
46,2314.643753089495,706855.038205854,4.281211559279986
47,2316.0529140143417,706001.0590516786,4.281165848801139
48,2317.4468069836403,705119.6609660211,4.281130027631391
49,2318.8232520821507,704212.3285522454,4.281102202830309
50,2320.176297618765,703279.1647993773,4.281081999605174
51,2321.5032094297007,702320.5506527133,4.281068910325347
52,2322.804480559828,701337.1430666114,4.281062398894915
53,2324.0741375026764,700329.5985736848,4.281061945822707
54,2325.313206328487,699297.4773382536,4.281067022129127
55,2326.521637404541,698240.0717824253,4.281077184230392
56,2327.696682853305,697159.6860280253,4.281092009891668
57,2328.8393717970403,696055.886422823,4.281111169390248
58,2329.94857520427,694927.7006437911,4.281134363840801
59,2331.0258667103276,693776.340081554,4.281161306218524
60,2332.068497065564,692601.6547385136,4.281191737963886
