day,predicted_num_changes_100000_agents,predicted_variance_scores_100000_agents,predicted_social_welfare_100000_agents
0,0.0,77.22222222222223,4.195
1,3650.9379644419355,4803.48266539037,4.295381146318621
2,2835.5699349198785,9554.86128047615,4.309563767042761
3,2621.184948663382,17525.881267825738,4.316575820611379
4,2721.989727967158,25162.448744273846,4.324804913445671
5,2667.138416067742,30958.206449276553,4.333247234191333
6,2366.284373341986,36451.39169946901,4.339164598800403
7,2298.671311898204,47566.99737076005,4.342553876822394
8,2250.096166568158,57597.488351481,4.345340121512428
9,2213.2444715563574,65328.20587310188,4.348155731072491
10,2174.250117432364,72034.22272607096,4.350330063880795
11,2132.823011031145,78513.02157318064,4.352012306608247
12,2102.2957286535407,84893.5860987136,4.353529508724661
13,2077.3899024190614,89856.35566890148,4.354910464366806
14,2056.511432158997,93811.48781403451,4.356145376662218
15,2037.4299642620301,97197.32655682834,4.357241248894233
16,2020.2209939138706,100160.37921010453,4.358241731429351
17,2005.7523049933318,102601.56743472905,4.359140387426265
18,1993.8784590517996,104493.58182719356,4.359989016292565
19,1983.8182546249552,106014.0211959416,4.360783125113019
20,1975.0967899931015,107266.0191807868,4.361531064616414
21,1967.6755628873111,108289.6881682515,4.3622409795526105
22,1961.5668775000127,109105.9479889611,4.3628945807098525
23,1956.5822623491479,109753.12849165955,4.363521353112539
24,1952.4495507798113,110278.30138408675,4.364121833164112
25,1949.0275734713016,110708.32072721036,4.364699011850164
26,1946.2396126520528,111059.96667104473,4.36525601747557
27,1944.0065767884416,111347.66524091638,4.365795823861011
28,1942.2233256746447,111585.25574159976,4.366321868279743
29,1940.795828933772,111784.70956317268,4.366812098113461
30,1939.666573855754,111953.75306714901,4.367288102527896
31,1938.7857325217417,112098.75858336636,4.367749542516074
32,1938.1086049506503,112224.67132486566,4.368202108245708
33,1937.5908740442576,112335.91546866555,4.368666582131753
34,1937.1991562539235,112435.22624899288,4.369123357555599
35,1936.9075134164075,112524.1942764916,4.369572005394492
36,1936.6947206636248,112604.04735735366,4.369999137018519
37,1936.5425290701846,112676.1585369463,4.370421822930819
38,1936.4356573291075,112741.95267591966,4.370838286563192
39,1936.3610476033923,112802.67335530819,4.3712469659088145
40,1936.3088471274789,112858.87026133163,4.371648444574631
41,1936.2731447817616,112911.04826787158,4.372043537893874
42,1936.2455682478646,112959.2483109774,4.372433524652349
43,1936.2197156038471,113003.83770342373,4.372818361937782
44,1936.1931246727906,113045.04500569073,4.3731984016308285
45,1936.1601327286685,113083.00626368725,4.373574068563015
46,1936.1197552930503,113117.71819765378,4.3739457832746425
47,1936.0682999027117,113149.22442123992,4.374313850442864
48,1936.0045365067692,113177.47562523636,4.374678518958876
49,1935.9264969057845,113202.37609689376,4.375040059170015
50,1935.833198165647,113224.01690996744,4.375398724258705
51,1935.7236578875925,113242.44284481795,4.375754737368777
52,1935.597140423049,113257.41904092419,4.376108287314244
53,1935.4521724006775,113268.99079157939,4.376455177274575
54,1935.2899884441074,113277.06372089917,4.376790742685438
55,1935.1096085889735,113281.87042028044,4.37712200828631
56,1934.9105458278787,113283.64381718758,4.377448111540456
57,1934.6928059271318,113282.43043735718,4.377768601868985
58,1934.4561492037337,113278.46370937634,4.378083466398215
59,1934.2000906874734,113271.55726742123,4.378393065591258
60,1933.9261136212688,113261.75830887671,4.378697995928741
